comment,id,rating,Вопрос решен,Качество выполненной работы,Компетентность работника в общение,Не удовлетворен,Скорость выполненной работы,Не понравился результат,Не понравилось качество
"В день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность ! ",3881004.0,5.0,1,1,1,0,1,0,0
Спасибо! Все заработало ,3881460.0,5.0,1,1,0,0,0,0,0
"спасибо, решили мой вопрос на месте в офисе ",3881636.0,5.0,1,1,1,0,1,0,0
"Спасибо больше Ольге Птушкине, за проделанную работу! ",3882840.0,5.0,1,1,1,0,0,0,0
"всё сделали хорошо, починили вовремя. наверное, молодцы.",3883200.0,5.0,1,1,0,0,1,0,0
Спасибо,3883457.0,5.0,1,0,0,0,0,0,0
Супер! Спасибо!,3883549.0,5.0,1,0,0,0,0,0,0
Отлично! Все выполнили как и обещали! ,3883658.0,5.0,1,1,0,0,0,0,0
Очень оперативно. Спасибо большое ,3883736.0,5.0,1,0,0,0,1,0,0
"Мастер Андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. Огромное ему спасибо.",3883745.0,5.0,1,1,0,0,1,0,0
Умело подкрутили редукторы давления. Молодец!,3884964.0,5.0,1,1,0,0,0,0,0
"все хорошо,дверь практически бесшумно закрывается",3885089.0,5.0,1,1,0,0,0,0,0
"проблемы как таковой не было, я в процессе поиска страх компании и всего лишь. Спасибо сотрудникам",3886150.0,5.0,1,0,0,0,0,0,0
"быстро, чётко, без проблем. одно слово - мастер! ",3886231.0,5.0,1,1,0,0,1,0,0
Работает. Спасибо!,3886721.0,5.0,1,1,0,0,0,0,0
"сегодня ездил, все исправно работает, спасибо!",3886923.0,5.0,1,1,0,0,0,0,0
"Спасибо большое, всё понятно.",3886937.0,5.0,1,0,0,0,0,0,0
Татьяна спасибо ❤️,3887002.0,5.0,1,0,1,0,0,0,0
На вопрос ответили. Крепления нельзя повесить в колясочной,3887203.0,5.0,1,0,1,0,0,0,0
Большое спасибо!,3887228.0,5.0,1,0,0,0,0,0,0
Лучший ,3887353.0,5.0,1,0,0,0,0,0,0
спасибо за оперативность ,3887358.0,5.0,1,0,0,0,1,0,0
спасибо за то что быстро отреагировали,3887392.0,5.0,1,0,0,0,1,0,0
"Сервис на высоте, мастер - профессионал",3887422.0,5.0,1,1,0,0,1,0,0
спасибо большое,3887525.0,5.0,1,0,0,0,0,0,0
ок ,3887606.0,1.0,0,0,0,1,0,1,1
Надолго ли(,3887614.0,2.0,1,0,0,1,0,1,1
Спасибо. Все работает,3887743.0,5.0,1,1,0,0,0,0,0
Спасибо большое!,3887791.0,5.0,1,0,0,0,0,0,0
"заявка выполнена, спасибо.",3887844.0,5.0,1,0,1,0,0,0,0
Дверь закрывается намного лучше.,3887922.0,5.0,1,1,0,0,0,0,0
Спасибо за быстрое реагирование!!!,3888009.0,5.0,1,0,0,0,1,0,0
"Оперативно сработали, благодарю.",3888318.0,5.0,1,0,0,0,1,0,0
"Спасибо сантехнику Алексею, все сделано качественно ",3888354.0,5.0,1,1,0,0,0,0,0
"Огромное человеческое спасибо за оперативность выполнения работы нашему дежурному сантехнику, прибывшему в воскресенье через 20 минут после написания заявки! Все решилось наилучшим образом! Вот так бы все вопросы оперативно решались!!!",3888539.0,5.0,1,1,0,0,1,0,0
Очень оперативно и никуда не пришлось ходить.,3888591.0,5.0,1,0,0,0,1,0,0
Проблема решена.,3888606.0,5.0,1,0,0,0,0,0,0
Очень оперативно отреагировали! Спасибо!,3888633.0,5.0,1,0,0,0,1,0,0
"оперативно, качественно, вопросов не возникло. Спасибо.",3888794.0,5.0,1,1,0,0,1,0,0
Быстро!,3888811.0,5.0,1,0,0,0,1,0,0
Благодарю за оперативность!,3888828.0,5.0,1,0,0,0,1,0,0
спасибо за оперативное решение проблемы. ,3889213.0,5.0,1,0,0,0,1,0,0
Оперативная работа,3889473.0,1.0,1,0,0,0,1,0,0
"оперативное решение проблемы! _x000D__x000D_
",3889502.0,5.0,1,0,0,0,1,0,0
Первый раз вы решили вопрос быстро ,3889542.0,5.0,1,0,0,1,0,0,0
Надолго ли,3889737.0,1.0,1,0,0,1,0,1,1
отлично спасибо ,3889783.0,5.0,1,0,0,0,0,0,0
"спасибо большое, Татьяна.",3889827.0,5.0,1,0,1,0,0,0,0
Лучший мастер на свете 🥰Спасибо большое 🙏,3889956.0,5.0,1,1,0,0,1,0,0
"Спасибо большое, что починили домофон. ",3890030.0,5.0,1,1,0,0,0,0,0
Отличная работа,3890209.0,5.0,1,0,0,0,0,0,0
Спасибо огромное за помощь!,3890231.0,5.0,1,0,0,0,0,0,0
"обычная услуга. Цена, правда, завышена (за около 10ти минут работы). ",3890239.0,5.0,1,0,0,1,1,0,0
отличная работа. теперь дверь закрывается плавно. спасибо. ,3890275.0,5.0,1,1,0,0,0,0,0
спасибо большое ,3890389.0,5.0,1,0,0,0,0,0,0
Все супер быстро! Спасибо! ,3890393.0,5.0,1,0,0,0,1,0,0
Оперативно) спасибо,3890484.0,5.0,1,0,0,0,1,0,0
Супер,3890486.0,5.0,1,0,0,0,0,0,0
Спасибо.,3890512.0,5.0,1,0,0,0,0,0,0
"Молодцы, оперативно. ",3890517.0,5.0,1,0,0,0,1,0,0
Вопрос решился быстро. Спасибо!,3890604.0,5.0,1,0,0,0,1,0,0
Спасибо 😉 ,3890656.0,5.0,1,0,0,0,0,0,0
Александру спасибо за объяснение причины бульканья ! ,3890678.0,5.0,1,0,1,0,0,0,0
спасибо! всё быстро!,3890716.0,5.0,1,0,0,0,1,0,0
Спасибо! Исправили мою ошибку,3890985.0,5.0,1,1,0,0,0,0,0
мастер сделал все очень быстро и аккуратно,3891095.0,5.0,1,1,0,0,1,0,0
спасибо за оперативность,3891188.0,5.0,1,0,0,0,1,0,0
Очень вежливый и профессиональный мастер. Устранил все недочеты оперативно и качественно. Просто отлично. Спасибо ,3891325.0,5.0,1,1,1,0,1,0,0
"Иван, огромное спасибо вам ! ",3891380.0,5.0,1,1,0,0,0,0,0
Среагировали за 20 минут!!!!,3891477.0,5.0,1,0,0,0,1,0,0
"Спасибо специалисту Роману, который помог мне наконец-то решить мой вопрос! Очень грамотный и вежливый специалист) ",3891489.0,5.0,1,1,1,0,1,0,0
спасибо! в тот же день электрик решил проблему.,3891568.0,5.0,1,0,0,0,1,0,0
"Лифт и полы помыли , большое спасибо за уборку ! Ждём установку зеркал в лифтах",3891612.0,5.0,1,1,0,0,0,0,0
да все верно. спасибо,3891850.0,5.0,1,0,0,0,0,0,0
спасибо всё бистро устранили ,3891871.0,5.0,1,0,0,0,0,0,0
"Спасибо, вроде бы стало лучше. ",3891943.0,4.0,1,0,0,0,0,0,0
Спасибо большое за Вашу быструю и профессиональную помощь. ,3892115.0,5.0,1,1,0,0,1,0,0
"Все быстро, не смотря на поздний час.",3892189.0,5.0,1,0,0,0,1,0,0
ответ был предоставлен оперативно и в полном объеме,3892432.0,5.0,1,1,1,0,1,0,0
"Спасибо огромное,  напор стал отличным!",3892474.0,5.0,1,1,0,0,0,0,0
Спасибо) там правда все убрали и стало прям чисто) если можете еще отмыть пятна чего-то… буду очень вам признателен) возможно там нужна не только тряпка),3892548.0,5.0,1,1,0,0,0,0,0
сделали,3892589.0,5.0,1,0,0,0,0,0,0
Спасибо мастеру Сергею за четкую работу! ,3892591.0,5.0,1,1,0,0,0,0,0
"Наконец - то. Очень надеюсь, что через 2 дня он не встанет снова",3892629.0,4.0,1,1,0,1,0,0,0
"Благодарим, очень оперативно!",3892632.0,5.0,1,0,0,0,1,0,0
"Быстро, мастеру большое спасибо",3892659.0,5.0,1,0,0,0,1,0,0
"Вопрос решен быстро, спасибо мастеру. Фото выполненной работы приложил и даже позвонил!",3892748.0,5.0,1,1,0,0,1,0,0
главное что проблема решена! спасибо!,3892858.0,5.0,1,1,0,0,0,0,0
Спасибо.. все сделали быстро .. очень вежливые сотрудники. ,3892909.0,5.0,1,0,0,0,1,0,0
"спасибо, что решили проблему оперативно ",3892910.0,5.0,1,0,0,0,1,0,0
"Оперативно, внимательно, вежливо. Спасибо. ",3893074.0,5.0,1,1,0,0,1,0,0
"Спасибо, всё оперативно сделали!",3893110.0,5.0,1,0,0,0,1,0,0
Была распечатана бумажная квитанция.Хочу поблагодарить работника расчетного отдела за разьяснения по квитанции и как найти электронный вариант квитанции в приложение Самолет+УК,3893437.0,5.0,1,1,1,0,0,0,0
"Заявка быстра принята в работу. Проблема решена. Спасибо! _x000D__x000D_
",3893476.0,5.0,1,0,1,0,1,0,0
Молодцы! Быстро! 😁,3893532.0,5.0,1,0,0,0,1,0,0
 Спасибо большое за оперативность👍👍👍,3893735.0,5.0,1,0,0,0,1,0,0
Благодарю!,3893847.0,5.0,1,0,0,0,0,0,0
"Спасибо большое,всех благ и процветание вашей компании ",3893860.0,5.0,1,1,0,0,0,0,0
спасибо электрику,3893967.0,5.0,1,1,0,0,0,0,0
всё грамотно по полочкам объяснил,3894064.0,5.0,1,1,1,0,0,0,0
благодарю за быстро и качественно оказанную услугу,3894130.0,5.0,1,1,0,0,1,0,0
Спасибо за оперативное решение вопроса! ,3894191.0,5.0,1,0,0,0,1,0,0
"Огромное спасибо, быстро и качественно ",3894326.0,5.0,1,1,0,0,1,0,0
Спасибо большое за оперативность ,3894419.0,5.0,1,0,0,0,1,0,0
спасибо за ремонт!,3894440.0,5.0,1,1,0,0,0,0,0
благодарю менеджера Татьяну ,3894680.0,5.0,1,0,1,0,0,0,0
благодарю менеджера ,3894684.0,5.0,1,0,1,0,0,0,0
сотрудники молодцы!,3894714.0,5.0,1,0,1,0,0,0,0
Большое спасибо ,3894876.0,5.0,1,0,0,0,0,0,0
оперативно и качественно! браво!,3894893.0,5.0,1,1,0,0,1,0,0
Спасибо огромное! Оперативно и качественно решили проблему! ,3894902.0,5.0,1,1,0,0,1,0,0
"Поднималась сегодня с утра, запаха нет совсем. Спасибо большое ",3895042.0,5.0,1,1,0,0,0,0,0
"Специалист проконсультировал, сориентировал по срокам.",3895051.0,5.0,1,0,1,0,0,0,0
"спасибо, быстро и качественно. ",3895064.0,5.0,1,1,0,0,1,0,0
спасибо. ,3895126.0,5.0,1,0,0,0,0,0,0
Спасибо за оперативность 💫💫💫,3895181.0,5.0,1,0,0,0,1,0,0
Все отлично! Спасибо ,3895221.0,5.0,1,0,0,0,0,0,0
"Спасибо, большое!!!",3895423.0,5.0,1,0,0,0,0,0,0
Спасибо  большое ! ,3895493.0,5.0,1,0,0,0,0,0,0
Быстро и оперативно ,3895519.0,5.0,1,0,0,0,1,0,0
все отлично,3895566.0,5.0,1,0,0,0,0,0,0
Оперативно. Пока работает ,3895624.0,5.0,1,0,0,0,1,0,0
"Лика, спасибо Вам за оперативный ответ и подробные разъяснения по работе с приложением! ",3895634.0,5.0,1,0,1,0,1,0,0
Отличный сотрудник ,3895794.0,5.0,1,0,1,0,0,0,0
Спасибо Мастеру Олегу!,3895805.0,5.0,1,0,1,0,0,0,0
"Для точной оценки нужно пережить зиму и понять, лучше стало или нет",3895874.0,5.0,1,0,0,0,0,0,0
"Спасибо большое за оперативность!)👍 Уже оценили песочек - очень хороший, чистый))) Дети были очень рады что в песочнице достаточное количество песка!)) 🤗",3895925.0,5.0,1,1,0,0,1,0,0
Быстро.Качественно.,3896179.0,5.0,1,1,0,0,1,0,0
Спасибо большое всё решили быстро!,3896191.0,5.0,1,0,0,0,1,0,0
"оперативно, быстро .",3896230.0,5.0,1,0,0,0,1,0,0
"оказали не только услугу по приобретению ключа,но ещё установили приложение УК Самолёт!!!",3896480.0,5.0,1,1,1,0,0,0,0
Приходил мастер все отрегулировал большое спасибо ,3896509.0,5.0,1,1,0,0,0,0,0
Оперативно ,3896614.0,5.0,1,0,0,0,1,0,0
спасибо за консультацию,3896717.0,5.0,1,0,1,0,0,0,0
"Парни (установщики) отработали на 5+, а вот упаковка не очень , тк не полный комплект фурнитуры (отсутствовали в комплекте нижняя ответка, пришлось колхозить и отпиливать кусок от старой ответки, а также шурупы отсутствовали)",3896735.0,5.0,1,1,0,0,0,1,1
Спасибо! Всё хорошо ,3896818.0,5.0,1,0,0,0,0,0,0
Все ок,3896822.0,5.0,1,0,0,0,0,0,0
Сразу бы так,3896870.0,5.0,1,0,0,1,0,0,0
" Ответ получен. _x000D__x000D_
Спасибо, что результатом стало уточнение и меня поняли. _x000D__x000D_
",3896928.0,5.0,1,0,1,0,0,0,0
"Благодарю за обратную связь. _x000D__x000D_
За возможность добавить необходимый документ в ЛК приложения и тем самым решить вопрос, не посещая клиентский офис. _x000D__x000D_
При звонке было вежливое, доброжелательное отношение. ",3896945.0,5.0,1,1,1,0,0,0,0
"Прислали на следующий день._x000D__x000D_
",3896981.0,5.0,1,0,0,0,1,0,0
Очень быстро отреагировали. Работа качественная!,3897000.0,5.0,1,1,0,0,1,0,0
Ну устранено,3897003.0,1.0,1,0,0,1,0,0,0
спасибо за подсказки и внимательное отношение ,3897016.0,5.0,1,0,1,0,0,0,0
Сантехник связался сразу. Вопрос решен. ,3897067.0,5.0,1,0,1,0,1,0,0
Спасибо технику),3897113.0,5.0,1,0,0,0,0,0,0
Благодарю.  Всё отлично 👍. ,3897118.0,5.0,1,0,0,0,0,0,0
Сантехник был ,3897201.0,5.0,1,0,0,0,0,0,0
подсказали куда обратиться для решения вопроса,3897252.0,5.0,1,0,1,0,0,0,0
Спасибо большое за информацию. Татьяна молодец!,3897281.0,5.0,1,0,1,0,0,0,0
"электрик пришёл в день обращения, снял показания, счеткик работает, сотрудник вежливый. благодарю. ",3897654.0,5.0,1,0,1,0,1,0,0
Все было сделано быстро и качественно.,3897730.0,5.0,1,1,0,0,1,0,0
"Напор стал гораздо сильнее, небо и земля. Быстро поняли причину слабого напора. Спасибо ",3897831.0,5.0,1,1,0,0,0,0,0
"Спасибо за вашу работу! Вычислить бы, кто вырвал предыдущий доводчик и наказать! А вам спасибо!",3898045.0,5.0,1,1,0,0,0,0,0
"да открыла спасибо_x000D__x000D_
",3898232.0,5.0,1,0,0,0,0,0,0
"быстро позвонили, пришли все сделали,спасибо ",3898417.0,5.0,1,0,0,0,1,0,0
"Молодцы, очень оперативно!!!!! Прям минус одна головная боль ",3898427.0,5.0,1,1,0,0,1,0,0
"Очень быстро, качественно. Спасибо! 🤝",3898572.0,5.0,1,1,0,0,1,0,0
спасибо большое за разъяснения и за оперативность,3898709.0,5.0,1,0,1,0,1,0,0
"Спасибо _x000D__x000D_
",3898733.0,5.0,1,0,0,0,0,0,0
"сотрудники работают на 5+ ! мгновенно обрабатываются заявки, ответ поступает сразу и всё решается.отличный сервис, очень приятно)",3898761.0,5.0,1,1,1,0,1,0,0
Быстро и понятно ,3898762.0,5.0,1,0,0,0,1,0,0
Спасибо за консультацию!,3898819.0,5.0,1,0,1,0,0,0,0
"Просто и удобно, а также быстро и экономия времени и ресурсов_x000D__x000D_
.",3899012.0,5.0,1,1,0,0,1,0,0
Отлично!,3899166.0,5.0,1,0,0,0,0,0,0
Отлично все сделано 5 балов.,3899842.0,5.0,1,1,0,0,0,0,0
"четвёрка за то что выслали только со второго раза. _x000D__x000D_
нужную квитанцию! ",3899902.0,4.0,1,0,0,1,0,0,0
отлично👍👏😆,3900024.0,5.0,1,0,0,0,0,0,0
спс,3900150.0,5.0,1,0,0,0,0,0,0
"Спасибо большое, все получила ",3900408.0,5.0,1,1,0,0,0,0,0
"Спасибо ,очень оперативно ",3900525.0,5.0,1,0,0,0,1,0,0
"благодарю мастера, всё объяснил и дал рекомендации",3900539.0,5.0,1,0,1,0,0,0,0
Ребята молодцы,3900559.0,5.0,1,0,0,0,0,0,0
Спасибо за оперативное решение,3900602.0,5.0,1,0,0,0,1,0,0
"спасибо!_x000D__x000D_
",3900686.0,5.0,1,0,0,0,0,0,0
"оперативно, спасибо",3900690.0,5.0,1,0,0,0,1,0,0
Большое спасибо мастеру!,3900869.0,5.0,1,0,0,0,0,0,0
"к оказанию самой услуги и сантехнику претензий нет. а вот, то что отключения происходят регулярно - крайне негативно сказывается на впечатление о компании Самолет УК",3900886.0,5.0,1,1,0,1,0,0,0
"Специалист компетентно объяснил, что необходимо сделать таких случаях! Игорь Золотухин 👍",3901101.0,5.0,1,0,1,0,0,0,0
Быстро и чётко,3901168.0,5.0,1,1,0,0,1,0,0
Всё хорошо,3901182.0,5.0,1,0,0,0,0,0,0
Владимир грамотно и здорово и быстро все сделал,3901194.0,5.0,1,1,0,0,1,0,0
Отличный сервис! ,3901238.0,5.0,1,1,1,0,1,0,0
огромное спасибо,3901247.0,5.0,1,0,0,0,0,0,0
"Спасибо! Сервис работает, это самое главное :)",3901257.0,5.0,1,0,0,0,0,0,0
"Все отлично,позвонили,ответ предоставили ",3901356.0,5.0,1,0,1,0,0,0,0
Заявка была отработана в течение 5-ти минут.  Благодарю за оперативность!,3901414.0,5.0,1,0,0,0,1,0,0
"Все отлично, спасибо",3901433.0,5.0,1,0,0,0,0,0,0
Оперативное решение! Спасибо),3901446.0,5.0,1,0,0,0,1,0,0
"Татьяна оперативно решила вопрос,очень отзывчивая 👍",3901616.0,5.0,1,0,1,0,1,0,0
Все гуд,3901836.0,5.0,1,0,0,0,0,0,0
Все отлично.👍,3901932.0,5.0,1,0,0,0,0,0,0
"Поприветствовали, предложили присесть. Всё быстро оформили. Спасибо. ",3901987.0,5.0,1,0,1,0,1,0,0
"Спасибо что убрали надпись. Думал, будет аккуратнее ",3902000.0,4.0,1,0,0,1,0,1,0
все быстро и четко ,3902088.0,5.0,1,1,0,0,1,0,0
"Добрый день! Заявка была выполнена качественно, сотрудники грамотные,очень вежливые, большое им спасибо! ",3902093.0,5.0,1,1,1,0,0,0,0
спасибо за помощь от подключившихся инженеров.,3902383.0,5.0,1,1,0,0,0,0,0
Замечательный мастер! Все очень оперативно и качественно. Добрый человек с золотыми руками! Огромное спасибо!!!,3902482.0,5.0,1,1,0,0,1,0,0
"Благодарю, хотя я уже давно просила и получаю на эл.почту, но почему-то ещё и бумажные получала.",3902496.0,5.0,1,0,0,0,0,0,0
Вопрос был решен оперативно) спасибо большое!,3902529.0,5.0,1,0,0,0,1,0,0
Молодцы!,3902558.0,5.0,1,0,0,0,0,0,0
Все ок ) спасибо ,3902632.0,5.0,1,0,0,0,0,0,0
"красавцы, быстро,  оперативно,  очень приятно в общении ",3902786.0,5.0,1,0,0,0,1,0,0
Хорошее обслуживание),3902795.0,5.0,1,0,0,0,0,0,0
Оперативно как всегда ,3903272.0,5.0,1,0,0,0,1,0,0
"Большое спасибо , оперативно поставили ограничители ",3903349.0,5.0,1,0,0,0,1,0,0
"одну звезду сняла за то,что отличается цвет плитки)",3903374.0,4.0,1,0,0,0,0,0,1
спасибо! быстро и оперативно,3903406.0,5.0,1,0,0,0,1,0,0
"Горячая вода появилась._x000D__x000D_
",3903436.0,5.0,1,1,0,0,0,0,0
"Оперативно, спасибо_x000D__x000D_
",3903453.0,5.0,1,0,0,0,1,0,0
Спасибо за оперативность ,3903479.0,5.0,1,0,0,0,1,0,0
Спасибо большое за оперативность 🙌🏻🌸,3903556.0,5.0,1,0,0,0,1,0,0
Вот теперь молодцы ,3903607.0,5.0,1,0,0,0,0,0,0
все отлично бистро устранили мастер хороши,3903626.0,5.0,1,0,0,0,1,0,0
"спасибо, проблема была решена",3903666.0,5.0,1,0,0,0,0,0,0
"спасибо за оперативность и грамотный, развёрнутый ответ) _x000D__x000D_
",3903709.0,5.0,1,0,1,0,1,0,0
Спасибо большое! Заявка выполнена быстро и качественно!,3903741.0,5.0,1,1,0,0,1,0,0
Огромное спасибо ,3903798.0,5.0,1,0,0,0,0,0,0
Супер!!!,3903951.0,5.0,1,0,0,0,0,0,0
Выполнено быстро и качественно!,3903997.0,5.0,1,1,0,0,1,0,0
Всё  понятно объяснили.,3904073.0,5.0,1,0,1,0,0,0,0
Большое спасибо Василию за проделанную работу!,3904265.0,5.0,1,0,0,0,0,0,0
"Благодарю, помогли, а то до Вас никто не мог решить эту проблему, еще раз спасибо)",3904421.0,5.0,1,1,0,0,0,0,0
"Очень оперативно менеджер связался, ответил на вопросы и отправил необходимые документы. Благодарю!",3904489.0,5.0,1,0,1,0,1,0,0
"быстро отреагировали, запустили",3904503.0,5.0,1,0,0,0,1,0,0
Спасибо. Оперативно приняли заявку и отремонтировали.Лифт работает исправно.,3904606.0,5.0,1,1,0,0,1,0,0
Оперативно и надежно),3904693.0,5.0,1,1,0,0,1,0,0
Отлично,3904810.0,5.0,1,0,0,0,0,0,0
"Спасибо! Услуга оказана очень оперативно, удобный формат. Заказала ключ на выходных, в понедельник все было готово. Сотрудники вежливые и внимательные👍",3904847.0,5.0,1,1,1,0,1,0,0
"Все супер, Очень оперативно и профессионально, Спасибо ",3904911.0,5.0,1,1,0,0,1,0,0
Всё быстро и качественно!👍,3905059.0,5.0,1,1,0,0,1,0,0
"Тот кто  выполнял заявку, чудо! Оперативно выполнили. Спасибо 👍🏻",3905086.0,5.0,1,1,1,0,1,0,0
"спасибо,жду бумажные платежные поручения со следующего месяца ",3905337.0,5.0,1,1,0,0,0,0,0
"лучший мастер на свете, нужно ему выдать премию ",3905720.0,5.0,1,1,0,0,1,0,0
работает! Спасибо,3905785.0,5.0,1,0,0,0,0,0,0
"Спасибо электрику, оперативно пришёл! ",3905786.0,5.0,1,1,0,0,1,0,0
все отлично! ,3905983.0,5.0,1,0,0,0,0,0,0
"Хотелось, что бы каждый месяц присылали квитанцию на почту или в приложении",3906032.0,5.0,1,0,0,1,0,0,0
"Большое спасибо электрику! Ситуация была не из простых, но он обнаружил проблему и смог ее решить ",3906048.0,5.0,1,1,0,0,0,0,0
